519.09998 0.00054 0.00109 0.00163
519.18219 0.00055 0.00110 0.00165
519.26440 0.00056 0.00111 0.00167
519.34656 0.00057 0.00113 0.00169
519.42877 0.00057 0.00114 0.00171
519.51093 0.00058 0.00115 0.00174
519.59314 0.00059 0.00117 0.00176
519.67535 0.00060 0.00118 0.00179
519.75751 0.00061 0.00120 0.00181
519.83972 0.00062 0.00122 0.00183
519.92194 0.00063 0.00123 0.00186
520.00409 0.00064 0.00125 0.00189
520.08630 0.00065 0.00126 0.00191
520.16852 0.00066 0.00128 0.00194
520.25067 0.00067 0.00130 0.00197
520.33289 0.00068 0.00132 0.00200
520.41510 0.00069 0.00133 0.00203
520.49725 0.00070 0.00135 0.00206
520.57947 0.00072 0.00137 0.00209
520.66162 0.00073 0.00139 0.00212
520.74384 0.00074 0.00141 0.00215
520.82605 0.00075 0.00143 0.00218
520.90820 0.00077 0.00145 0.00222
520.99042 0.00078 0.00147 0.00225
521.07263 0.00079 0.00149 0.00228
521.15479 0.00081 0.00151 0.00232
521.23700 0.00082 0.00153 0.00236
521.31921 0.00084 0.00156 0.00239
521.40137 0.00085 0.00158 0.00243
521.48358 0.00087 0.00160 0.00247
521.56580 0.00089 0.00163 0.00251
521.64795 0.00090 0.00165 0.00256
521.73016 0.00092 0.00168 0.00260
521.81238 0.00094 0.00170 0.00264
521.89453 0.00096 0.00173 0.00269
521.97675 0.00097 0.00176 0.00273
522.05890 0.00099 0.00179 0.00278
522.14111 0.00101 0.00182 0.00283
522.22333 0.00104 0.00184 0.00288
522.30548 0.00106 0.00187 0.00293
522.38770 0.00108 0.00191 0.00298
522.46991 0.00110 0.00194 0.00304
522.55206 0.00113 0.00197 0.00310
522.63428 0.00115 0.00200 0.00315
522.71649 0.00118 0.00204 0.00321
522.79865 0.00120 0.00207 0.00327
522.88086 0.00123 0.00211 0.00334
522.96307 0.00126 0.00214 0.00340
523.04523 0.00129 0.00218 0.00347
523.12744 0.00132 0.00222 0.00354
523.20959 0.00135 0.00226 0.00361
523.29181 0.00138 0.00230 0.00369
523.37402 0.00142 0.00234 0.00376
523.45618 0.00145 0.00239 0.00384
523.53839 0.00149 0.00243 0.00392
523.62061 0.00153 0.00248 0.00401
523.70276 0.00157 0.00253 0.00409
523.78497 0.00161 0.00257 0.00418
523.86719 0.00165 0.00262 0.00428
523.94934 0.00170 0.00268 0.00438
524.03156 0.00175 0.00273 0.00448
524.11377 0.00180 0.00278 0.00458
524.19592 0.00185 0.00284 0.00469
